show:4
aprox:4
bedroom:4
tv:6
mattress:6
stand:8
black:4
hollow:5
condition:10
furniture:6
depth:5
height:8
night:19
set:6
soma:6
frame:8
see:7
space:4
content:27
email:5
cabinet:5
marina:4
half:4
cow:5
width:8
south:6
table:6
medium:6
size:14
van:4
wood:9
valley:5
selling:5
offer:8
shelf:4
downtown:4
hi:4
excellent:5
info:8
cash:4
century:4
deep:6
drawer:18
nightstand:33
end:4
pine:8
beach:6
dresser:33
ness:4
ikea:13
sale:6
contact:6
time:28
tall:4
